Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Population
Afghanistan,225.438358077,483.74185049566,58.29029809316,88.276170743998,14.4890172538,9.6523142894,18.4996123488503,12.6936587970775,15539,1050,3772,11,3464,96,45,25654277.0
Albania,119.3077729574,113.85672854744,29.8719456124387,34.0516943265227,28.1207253091,11.6852293507,9.96109639031076,5.69625382172306,3459,803,464,8,157,23,21,3011487.0
Algeria,628.308064147,2974.5746427437,54.416856373103,734.64593094611,268.2442828402,67.26775091911,28.8418127045234,19.529545102501,14873,1932,3192,7,2027,166,42,33149724.0
American Samoa,0.0026041545,1.448495365366,0.07271770576614,0.202525098446141,0.003042964403,1.4719132e-05,0.0022947858828322,0.00054007604697576,49,9,14,0,4,0,1,59562.0
Andorra,,,,,,,,,172,38,24,0,0,2,0,78867.0
Angola,1639.62013488,1550.19931175,80.1567511033,685.64516473924,60.0973120787,25.41882101,215.784219237479,89.7612806722992,7501,820,1734,17,1601,60,76,19433602.0
Antigua and Barbuda,9.0947316833,4.016272499442,0.3074461736049,2.3659224394454,3.22732589332,2.254639630063,0.06213930893495,0.040801240158096,91,6,4,0,1,0,0,81465.0
Argentina,4889.594855012,5370.08654061411,494.50020452544,795.30330093198,682.816240603,276.655425520345,238.111892663009,182.34817672845,70397,11674,13318,34,690,1458,458,38892931.0
Armenia,29.228369302,90.22809001606,12.39353064417,27.6893284311117,10.2012867134,0.92250766769,1.81307651364759,0.888638598841376,5243,1311,1079,1,41,62,3,2981269.0
Australia,2876.78250234272,7742.22783722456,557.564780391269,823.4960503299,1267.766342904,1000.99184590432,230.590964993253,171.175850941384,39139,7701,6280,107,369,692,87,20394800.0
Austria,781.4790392135,428.457663879188,100.134227716489,149.006805240491,256.68363263609,63.1208735157744,41.3146669239349,26.2042224860805,19881,3672,2654,16,158,114,19,8227829.0
Azerbaijan,152.3027730294,486.45772323198,47.455153388935,115.495324105632,82.30927083281,141.347970837694,7.92815897778223,4.89333859504587,8337,1307,1199,1,347,58,32,8391850.0
Bahamas,68.701353278,4.9706553886,1.097212536991,14.6329925792649,20.77392794138,16.07091524444,1.07534542569064,0.663628111988822,363,35,19,0,6,3,2,324859.0
Bahrain,225.0881322787,167.894647258488,1.147069954925,67.5429890479391,53.28630689001,6.383647565951,3.60165835048872,2.23733121229519,423,81,99,0,27,6,2,889164.0
Bangladesh,2943.918363901,4204.3029948244,436.55649814009,828.085708614856,237.0562559787,99.2965298497,368.06858526694,222.498806602464,65142,5439,43842,203,11696,2270,809,139035505.0
Barbados,27.6202024382,3.95513496128,1.47774360538,7.0239043316834,11.04142483582,5.330717862,1.21458152615516,0.844235715497141,597,35,30,0,12,4,1,276323.0
Belarus,561.72261688,1981.514957801,167.508514778653,217.26275003229,167.88238598,102.8838254424,44.4225589760128,26.7509626080465,21378,4177,3765,11,386,72,30,9663915.0
Belgium,649.6912372928,690.87692763416,131.667345555998,225.74066041248,297.762502172033,98.80549594471,41.8689022892364,28.8249799286211,28572,6928,6197,204,212,293,54,10478617.0
Belize,34.8840337317,9.333350997572,1.7346001230882,6.777388136507,6.629606636401,3.69673783561,2.74124381044471,1.97851235970838,173,20,27,0,6,6,1,283800.0
Benin,580.4498720592,160.55821145676,31.766194750577,137.607771782491,24.37320078128,8.29771602339,60.7520293182808,26.4054482453588,3219,302,724,1,589,17,72,7982225.0
Bermuda,9.0984905303,0.972429240742,0.0510898532309,2.32428165770303,3.426062021584,2.164871802753,0.0567828477689858,0.041174893565728,129,24,8,0,1,2,0,64154.0
Bhutan,206.931707772,38.279371826602,7.896874460313,46.7396932348356,5.0315831844,5.0062938172,32.0247320590452,16.0729929502321,308,26,332,0,73,13,4,648739.0
Bolivia (Plurinational State of),482.05494338,782.2396317087,94.5644575447199,114.182421902449,63.0810535881,12.6254179962,40.3360113757534,25.5561712062858,8865,716,1633,19,234,493,80,9232306.0
Bosnia and Herzegovina,221.82210621,138.98828522196,24.6089514207647,59.899254777557,56.904710443,138.713627918,23.7010251592763,16.0999261244737,8465,2292,1174,1,77,40,4,3765331.0
Botswana,225.61380413,2281.590033293,17.96553464988,48.461296027064,31.58014465062,31.2022351498,17.2669090098454,9.64793618426721,1384,200,361,5,226,17,13,1799078.0
Brazil,21506.3680916789,18530.304530848,2595.71683644614,4110.60918416785,2748.059343478,1215.2344910118,2236.4752367008,1294.57190199102,185910,25313,51417,403,3226,1920,993,186127103.0
Brunei Darussalam,121.309926885,193.7346214473,2.7467105944,66.071766596834,15.14707829087,2.37232099594,1.49357842679874,0.846102218885624,296,56,53,0,13,5,2,365114.0
Bulgaria,350.9756253826,380.14305000941,66.903506996023,189.365187202566,167.46776431637,494.267880350734,48.6753330769804,28.6646755126684,19214,3986,2983,59,117,50,54,7658972.0
Burkina Faso,829.8564617734,507.88951076881,91.5818567163178,194.20458886766,25.5234026038,9.12548685371,117.845456397796,55.186331569822,5847,503,966,2,793,23,98,13421930.0
Burundi,610.7318060434,102.69262293448,22.4932012767968,125.905682962598,10.78831750152,5.38666736403,102.168306875044,46.3752799413339,3692,208,1134,13,710,30,42,7364862.0
Cabo Verde,9.11943204187,8.23461133438,1.87153538155557,3.6874387922055,2.107851449111,1.0986739847624,0.189397672306525,0.150033612362198,424,43,53,0,24,0,3,463032.0
Cambodia,1243.21445415,832.83453305294,95.19103114503,241.61631552058,64.9302808448,23.786037108,139.108277150837,90.8215630944894,8752,1631,2249,1,1191,34,29,13273354.0
Cameroon,1328.07084,1036.033836604,87.1440248628,292.432668107279,45.3931299052,13.915630159,182.263449005429,89.931484756413,8561,934,1809,4,1357,52,182,17733410.0
Canada,5638.1451230746,4909.1913071204,565.395122408847,1262.47056768169,1823.2710625817,1324.5818921797,388.739150089593,277.092074954864,68765,19372,11341,82,283,1419,118,32243753.0
Central African Republic,154.227288842999,196.04449581551,32.3673878275275,37.8111399611334,6.349284319856,2.168685026777,24.2191290031027,11.2556615602889,2094,227,648,9,615,21,20,4038382.0
Chad,489.55044839075,452.125625528108,57.7405705076282,116.22610504204,13.036580796859,3.588154708546,68.1544408063237,32.0086057295154,3975,390,1049,2,971,26,90,10096633.0
Chile,2010.025443502,1023.21633865064,167.5212809947,390.784187749645,285.312944313,374.2757063053,204.542844011762,110.051250442356,22160,2600,3293,121,216,905,34,16182721.0
China,110575.48384584,52141.2032247753,8478.97600156305,23495.0951374107,21353.6074394156,27975.9314518418,14906.2708096416,9936.24082596388,2110664,482680,1221866,10990,33814,5039,3790,1303720000.0
Colombia,3233.471456384,2744.69110841847,365.328128539924,757.97649259513,323.8067757821,131.722966905669,196.489798570744,120.869756345574,33699,4176,10548,44,452,275,249,42647731.0
Comoros,20.13262201366,10.439301262686,0.95661272124859,6.5411129516094,0.852659501287,0.56324485605,1.67602544978071,0.789785959571894,370,24,83,0,47,2,2,611627.0
Congo,224.6027360714,378.7580119485,7.9781652436,121.053061328183,10.947246147606,1.2341897869,25.9983220780843,9.87058983421515,2084,238,482,4,324,19,14,3622775.0
Cook Islands,0.3754805199,0.225509881205,0.19620848023825,0.221817386633264,0.56722799203,0.51933740757,0.024810228979439,0.0206716312270261,23,5,5,0,1,0,0,
Costa Rica,415.94669168,123.97908261719,34.75196255902,97.291810158738,39.5449835202,15.9499570613,21.6417597506965,14.8423575998949,3609,295,780,0,49,94,7,4285502.0
Croatia,375.7473362506,168.99030513941,50.0443470709855,86.4785015985528,74.2072724373749,106.123629260014,46.7898246200847,25.5067196000003,12539,2864,1432,3,98,24,5,4310145.0
Cuba,776.07417632,527.8747928672,58.0493651832,191.027257782082,125.133770737,366.487968661,47.7744914978829,29.5689849052658,20314,4849,2909,2,285,45,28,11261582.0
Cyprus,53.33240485,27.234315269685,7.1369002984,14.8369468004953,29.8416364074,34.40191401218,3.71724737710648,2.24682824574215,1458,271,283,2,36,39,4,1027662.0
Czechia,1152.98976578613,540.64489641393,98.3780226260268,248.432418335965,357.678589174793,252.107583034657,97.2225872583174,63.1541385940141,29159,5995,2251,68,119,131,15,10211216.0
Côte d'Ivoire,1381.65021598406,378.7843902395,66.89322110561,457.89479540557,39.9655389056,20.573006183,244.465701043855,77.7948406409994,7880,854,1516,4,1315,34,163,18354514.0
Democratic People's Republic of Korea,1807.894414174,947.275150881,57.771640182,378.34431715638,257.383532542,691.03892875,230.049995753996,154.179994211197,32534,6671,23500,238,1635,123,105,23904167.0
Democratic Republic of the Congo,3051.1598123,777.940192757,113.6176023329,681.922625624262,74.540448855,30.752936963,437.031842228615,233.082103470781,24223,2661,9196,107,6734,325,272,54785903.0
Denmark,499.60868516157,366.185442605317,164.151555891835,126.856278270287,182.8543908517,41.138103697576,27.0941962170339,19.1504417347988,16608,3997,3643,15,117,154,13,5419432.0
Djibouti,67.346991967,33.6453467809,2.9678491093178,22.7274355980797,12.460149471191,7.155411614376,2.68996202317423,1.38750111912691,383,28,48,0,40,2,2,783254.0
Dominica,3.64120711253,2.0222572370863,0.2941337876721,4.92738193638655,0.58060594909,0.24833533131,0.218364207225342,0.151965068364984,154,13,14,0,4,0,0,70589.0
Dominican Republic,656.40530658,278.8110674694,80.57655660022,180.940695067031,157.746160749,162.800477657,52.5143202012923,28.6699764634562,7141,864,878,1,475,28,25,9097257.0
