Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population
Afghanistan,852.996150524,665.4412116401,73.00639078833,156.490611195086,46.816408708,33.048471413,20.8037686068559,14.739274234688,16699,1136,3685,12,3115,104,51,232401.0,29185507.0
Albania,81.71664364,102.06981131035,27.3591552335598,28.838517071707,23.8550580361,8.7421683836,10.2947048270581,5.71852803048451,3605,825,421,8,110,24,21,18209.0,2913021.0
Algeria,456.9777025335,2839.93452796021,62.693398326053,665.27500143037,323.184243004909,78.369253933129,32.5286186904646,22.0778913647141,17657,2415,3601,8,2025,199,51,151348.0,35977455.0
American Samoa,0.0028317767,1.371167501083,0.07341166137894,0.202341863661409,0.003091353334,1.6005672e-05,0.0024107934936286,0.00057151526994153,55,10,14,0,4,0,1,295.0,56079.0
Angola,2091.9441899,1457.665131945,96.6782544679,897.856277456348,121.9059970587,60.3494138100001,245.277185947513,104.372508217619,9002,1036,1844,18,1532,69,81,195293.0,23356246.0
Antigua and Barbuda,9.850325371,3.175357588238,0.2123217823691,2.66782164733606,3.91905019536,2.90417300238,0.075529487696831,0.0505079591233393,109,7,5,0,1,0,0,497.0,88028.0
Argentina,6240.262841446,4773.9783144493,488.574743234675,910.18209777406,793.793140036,415.7261345112,250.164670295844,195.634201217157,74065,12365,14459,28,539,1713,459,309435.0,40788453.0
Armenia,24.815682635,82.5581090985001,12.4072044447,27.091761226833,14.6374685391,0.98859064851,1.6295134020416,0.807006927865266,5665,1317,1078,1,27,85,2,27934.0,2877319.0
Australia,2837.23195340723,7660.38054473966,513.463134912546,884.0051590172,1328.989169256,976.197313687194,238.812804846126,178.938680055079,43375,8573,7031,139,413,886,94,143865.0,22031750.0
Austria,700.68684827194,420.48564406529,100.613255426218,146.008239967912,200.6627057494,54.208871180249,40.647389837223,24.8694771051788,20615,4052,2693,18,97,138,21,77031.0,8363404.0
Azerbaijan,134.1743172999,722.840191425836,54.042355869844,170.439628370069,58.287878335421,9.426575904755,8.88845323236414,4.98895803923896,9726,1718,1300,1,346,66,37,67987.0,9054332.0
Bahamas,50.467498659,4.93831615285,1.079677826302,11.8096759551957,16.964861187128,13.06901108639,0.99545862832136,0.59908248398485,442,43,24,0,6,4,2,2122.0,354942.0
Bahrain,174.260148645,204.83133807251,1.28149929441,39.3876609392165,51.06667665102,6.815566228789,4.26775481964192,2.62909635065218,496,86,87,0,25,10,2,2475.0,1240860.0
Bangladesh,3113.29543377,4699.2266847401,478.08543548887,911.422343397924,368.7963222903,100.43492008579,403.760560127065,244.99717407011,75880,6743,45768,194,10877,2606,846,873436.0,147575430.0
Barbados,23.5026207181,4.271823152965,1.4887262690841,6.5390773249821,11.46354250058,5.28998461556,1.04568666675974,0.706005944056461,637,36,30,0,11,5,1,2371.0,282131.0
Belarus,589.129724888,2223.5056015844,242.322279871048,238.1327443839,203.110152656,88.3194285102801,49.6262605135428,29.5837170062883,20955,3858,2446,7,198,49,19,136760.0,9490583.0
Belgium,482.3107871275,683.44296220442,131.22506281784,220.149273467295,255.605955254742,71.6415021651745,41.8136290198218,28.1742653488685,30758,7486,6101,127,167,342,54,104516.0,10895586.0
Belize,29.5019975617,12.017867550884,1.9013124172107,5.695938041639,4.398135615258,2.150699271078,2.73216779301576,1.97470041760332,204,24,32,0,6,8,1,1496.0,322464.0
Benin,834.596618408,204.3130759574,35.92461718355,194.621769846515,43.84464327596,9.7886718516,72.9295259756597,32.8450775456751,3904,368,836,2,649,19,88,80203.0,9199259.0
Bermuda,9.856210018,0.919689820558,0.0594793497641,2.60768450870066,4.18567357603,2.63932413499,0.0697647939735182,0.0508381389419224,144,26,9,0,1,3,0,449.0,65124.0
Bhutan,245.7518956518,39.688209465585,8.121057595012,47.8304432021377,7.6608557951,9.44899379422,35.1107803209719,17.9177476100146,363,32,385,0,73,16,4,3880.0,685503.0
Bolivia (Plurinational State of),683.53187947,910.1755574069,125.70653685091,158.445427862014,92.7546285273,18.4363196485,53.0168384173902,31.7133917736704,10462,861,1947,22,215,630,82,61400.0,10048590.0
Bosnia and Herzegovina,165.911445779,153.52963726894,25.8757767048363,51.7628392608658,61.40882031472,171.72173947226,26.6836718777789,17.5060611377557,8783,2293,1105,1,71,37,4,34502.0,3705472.0
Botswana,251.90042998,2784.79803355905,20.6948223919,52.467368827675,29.00391834393,16.50606977,17.1712110497451,9.53063432462309,1539,219,352,4,204,16,13,19368.0,1987105.0
Brazil,25408.5427000981,19524.111859859,2869.74987157316,4757.1458219699,3611.565699558,1402.8453639617,2591.92169864928,1629.44129221568,213580,29271,54910,430,3033,2466,1106,1164808.0,195713635.0
Brunei Darussalam,84.976328213,206.9925260617,3.6102385786,52.894575418518,15.49825238552,4.62984359795,1.76207450251937,0.931451822133315,359,68,53,0,12,5,2,1465.0,388646.0
Bulgaria,310.92099419896,355.74970707441,67.0161300677069,185.214261960927,137.63555762168,535.425771124126,49.0511449186833,28.7270666579496,22186,4762,2703,43,63,44,38,109244.0,7395599.0
Burkina Faso,1017.026015785,587.9158357022,106.024190903861,236.72916871347,34.8198099922,12.938201706,145.925342940733,67.7557486393126,6729,598,1065,2,845,24,115,177856.0,15605217.0
Burundi,670.7415235423,132.855118046285,26.8247288281201,140.042350501224,11.338145603,5.4614783866,114.336154194744,51.3051237026568,4022,233,1182,14,713,34,48,81229.0,8675602.0
Cabo Verde,12.025947415,9.02278990052,2.1952836394786,4.296416994159,3.19104466933,1.5945069076,0.257922413632308,0.19344504310288,441,45,50,0,22,0,4,2751.0,492654.0
Cambodia,2006.10857726,963.29783169795,114.10129700158,362.33222014766,87.62598959,28.689181532,199.290079504944,124.832299065533,10323,2021,2632,2,1258,44,32,96927.0,14312212.0
Cameroon,1141.05450657,982.7630147725,83.7736062783,271.111764265324,55.8983383948,22.621249444,145.084677195284,73.5964475321875,10414,1154,2013,6,1478,56,217,207838.0,20341241.0
Canada,5273.81175399631,4691.03650770898,590.541425387611,1278.50928425815,1702.56285963265,1101.61058745166,339.092859749006,235.96909162721,75277,20698,12096,100,255,1682,136,241226.0,34004889.0
Central African Republic,138.681137237,226.66627839277,37.6300171021066,41.9676508573034,7.003840008,2.1016489012,15.9835838546446,6.86533959414835,2306,249,700,10,657,23,23,70129.0,4386768.0
Chad,596.1955847551,526.57612447695,66.9902926422969,134.827292805055,17.2661684667,4.5585457216,78.7570467955059,37.7294617849147,4754,485,1177,3,1042,29,116,145197.0,11952136.0
