Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population,PCA first component,PCA second component
Afghanistan,1071.567818592,689.0056190217,78.6500301151,189.420149642683,83.2882596797,60.2175357541,25.4279107615442,18.6465733436938,18854,1299,3712,12,2938,112,59,245708.0,34413603.0,-0.6325416484870303,0.10336281991313405
Albania,76.075069286,117.43649227757,39.4424510138071,30.3645222849873,26.9633127967,7.5352566705334,10.8049264581693,5.95237491324214,4298,1042,539,9,134,29,24,20814.0,2880703.0,-0.9097105302817844,-0.04480952825928216
Algeria,639.299655055,3034.6013619057,73.388474326506,713.47963235373,449.399178282292,78.74764232293,39.8841432726374,28.3726479162479,20604,2828,4270,10,2149,245,62,164432.0,39728025.0,-0.4486549396395388,-0.0037806200348365743
American Samoa,0.0030890646,1.36562424441,0.0734377339042,0.206485669764474,0.003112578674,1.7459908e-05,0.0024266992415575,0.00058659727503638,63,11,15,0,3,0,1,316.0,55812.0,-0.9715604180970236,-0.048957835303914496
Angola,2412.12108472,1728.55654084,117.626648654,983.94560602796,174.2423251349,67.30777572,275.665713100685,119.07743056051,10724,1304,1976,18,1454,82,81,184296.0,27884381.0,-0.4407415369200709,-0.03125364710123604
Antigua and Barbuda,15.7934472141,3.19409524568,0.2245056207826,3.95425149492155,7.27616936529,5.72585332671,0.13262707087837,0.09344517419832,124,8,6,0,1,0,0,543.0,93566.0,-0.9694588941915058,-0.050602370516723415
Argentina,7417.822606356,4944.9372012167,516.331367744892,993.14071385497,865.943031484,488.212255423719,288.221419612862,225.057153150305,77879,12879,15477,32,477,1830,462,325915.0,43131966.0,0.4846584951291356,0.06032209683073386
Armenia,63.430674759,96.17700639477,15.051256472055,32.5851032792828,19.3718425563,0.89775079452,7.59251120903446,4.15301169857284,5761,1269,1178,1,18,105,3,27776.0,2925553.0,-0.9199662457442878,-0.04661302860849385
Australia,2811.57350152439,7933.63825004759,577.806899808663,943.2019402506,1379.00132623,960.503709561305,243.955668690354,186.159394851748,47715,9161,8377,154,446,1076,107,160006.0,23815995.0,0.3681306767863584,-0.2923674768065914
Austria,680.362960501477,398.957654334753,99.1567877226325,140.029012339265,162.526066609911,47.0363854317905,37.5049758138502,22.1486465816283,21682,4308,3008,21,75,169,24,80520.0,8642699.0,-0.7502424582269073,-0.08205261253477986
Azerbaijan,177.043112758,758.28358491194,60.4426233242685,178.100157323218,82.09911284885,38.82477548967,11.8472768434188,6.34771856067883,10836,2032,1464,1,367,77,41,72040.0,9649341.0,-0.8031073209090176,-0.04140892839926805
Bahamas,76.954322886,5.31643712884,1.164879897111,16.862681205625,30.574305027769,27.16022756959,1.25574108610104,0.795989137189112,511,49,28,0,7,5,3,2441.0,374206.0,-0.9586788102131912,-0.052573068974367816
Bahrain,199.4160571875,230.2886997155,1.377901384907,44.991779085869,59.93316553096,7.842998694767,4.75827270577428,2.9254642752751,602,97,81,0,26,12,2,3004.0,1371851.0,-0.9385184039022746,-0.05628086231191015
Bangladesh,3545.94686184,4853.238265291,502.21184432781,1005.67985199295,518.9865336117,225.96632673761,443.565353937269,272.471779249225,86886,7874,44508,163,9916,2895,823,851634.0,156256276.0,1.0652100612664301,0.9415803830895472
Barbados,41.26075371,4.28705723397,1.450940236281,10.6031618759522,19.76969125691,13.50764268511,0.83057925821334,0.497413945860533,709,40,34,0,11,5,1,2648.0,285324.0,-0.9630618404658258,-0.051333201144772196
